Index,Context,Judgement
0,"reportable in the supreme court of india civil appellate jurisdiction civil appeal no.267 of 2022 indian overseas bank & ors.  â€¦ appellants versus om prakash lal sriv asta v a â€¦respondent j u d g m e n t sanjay kishan kaul, j. 1.the appellant-bank, a nationalised one, took the ultimate step against the respondent as an employee in pursuance of departmental proceedings having found him guilty on various counts inter alia including breach of duty as a custodian of public money and dishonesty, fraud or manipulation of documents. the industrial tribunal ultimately upheld the decision of the appellant-bank but in terms of the impugned judgment of the allahabad high court, five of the charges were found 1deposed as to these aspects, being mw-3 and mw-4. the respondent was a clerk-cum-cashier. it is a post of confidence. the respondent breached that confidence. in fact, the respondent breached the trust of a widowed sister-in-law as well as of the bank, making it hardly a case for interference either on law or on moral grounds. the punishment imposed on the respondent could also hardly be said to be disproportionate. the conduct established of the respondent did not entitle him to continue in service. 20.we are, thus, of the view that the impugned judgment dated 31.5.2018 of the high court is liable to be set aside and the challenge to the award of the industrial tribunal dated 21.2.2013 is repelled. 21.the appeal is accordingly allowed leaving the parties to bear their own costs. ...â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦j. [sanjay kishan kaul] ...â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦â€¦j. [m.m. sundresh] new delhi. january 19, 2022. 14",Ambiguity
1,"In the present facts, it is clear that BCCL and India have laid recourse to Clauses of the NIT, whether it be to
justify condonation of delay of Respondent No. 6 in submitting performance bank guarantees or their decision to
resume auction on grounds of technical failure. BCCL having authored these documents, is better placed to
appreciate their requirements and interpret them. (Afcons Infrastructure Ltd. v. Nagpur Metro Rail Corporation Ltd.,
(2016) 16 SCC 818) The High Court ought to have deferred to this understanding, unless it was patently perverse or mala fide. Given how BCCL's interpretation of these clauses was plausible and not absurd, solely differences in opinion of contractual
interpretation ought not to have been grounds for the High Court to come to a finding that the appellant committed
illegality.""",Respondent
2,"It is true that the ARC is not a party-respondent. It need not be. It is an assignee of YBL. If YBL
has dropped the Wilful Defaulter proceedings, and, on affidavit withdrawn the First Committee
order and both underlying show cause notices, it is difficult to see how these can continue or inure
to the ARC. We leave open the question of whether the ARC is independently entitled in law to maintain wilful
defaulter proceedings against the Petitioners under the 1st July 2015 Master Circular of the Reserve
Bank of India (""RBI"").The Writ Petitions are disposed of in these terms. There will be no order as to costs.",Ambiguity
3,"Hence, it has to be directed that till such amendment is made to the down the Explanation to
Section 10(26AAA) of the I.T. Act, 1961, all individuals domiciled in Sikkim up to 26 th April, 1975
shall be entitled to the exemption under the said provision from the current financial year i.e., 1st
April, 2022 onwards. This direction is being issued in exercise of powers under Article 142 of the
Constitution so as to eliminate discrimination and disparity in respect of the aforesaid category of
Sikkimese, who subsequently have become citizens of India w.e.f. 26th April, 1975 and to save the
Explanation from being rendered unconstitutional vis-à-vis such individuals who form a small
percentage of Sikkimese and who are also entitled to such an exemption. Such as approach is being
adopted rather than striking down the Explanation to Section 10(26AAA) of the I.T. Act, 1961 which
would have the effect of withdrawing the benefit of exemption even from those categories of persons
who are presently eligible for the same.
i) That the benefit of income-tax exemption presently is restricted only to those
Sikkimese who fall within the three clauses of the Explanation to Section 10(26AAA)
of the I.T. Act, 1961, or those persons domiciled in Sikkim, or are Sikkimese as
covered under the 1961 Regulation.
ii) In terms of the Sikkim (Citizenship) Order, 1975 as amended by the Sikkim (Citizenship)
Amendment Order, 1989, issued by the Government of India any person who was a Sikkim Subject
under the 1961 Regulation was to be deemed to be a citizen of India w.e.f. 26th April, 1975.
Conversely, it is held that all citizens of India, having a domicile in Sikkim on the day it merged with
India i.e. 26th April, 1975 must be covered under the Explanation in order to avail the benefit of the
exemption under Section 10(26AAA) of the I.T. Act, 1961.
iii) The Union of India shall make an amendment to Explanation to Section 10 (26AAA) of I.T. Act,
1961, so as to suitably include a clause to extend the exemption from payment of income tax to all
Indian citizens domiciled in Sikkim on or before 26 th April, 1975. The reason for such a direction is
to save the explanation from unconstitutionality and to ensure parity in the facts and circumstances
of the case.
iv) Till such amendment is made by the Parliament to the Explanation to Section 10 (26AAA) of I.T.
Act, 1961, any individual whose name does not appear in the Register of Sikkim Subjects but it is
established that such individual was domiciled in Sikkim on or before 26th April, 1975, shall be
entitled to the benefit of exemption.",Petitioner
4,"In view of above, we are inclined to allow this petition, because simplicitor registration of FIR/s
by itself cannot C/SCA/25314/2022 ORDER DATED: 05/01/2023 have any nexus with the breach
of maintenance of public order and the authority cannot have recourse under the Act and no other
relevant and cogent material exists for invoking power under section 3(2) of the Act. In the result,
the present petition is hereby allowed and the impugned order of detention No.PCB/
DTN/PASA/865 of 2022 dated 24.09.2022 passed by the respondent-detaining authority is hereby
quashed and set aside. The detenue is ordered to be set at liberty forthwith if not required in any
other case.",Petitioner
5,"In the facts of the said case, the Court found that there was, in fact, a confessional statement of
the disclosure made by the appellant Gurbachan Singh which was confirmed by the recovery of the
incriminating articles. As such, the Court believed the disclosure statement and the evidence led in
that behalf. As already stated hereinabove, in the present case, there is no confessional statement of
Boby (accused No.3/appellant herein) recorded with regard to recovery of the dead body of the
deceased.
In the result, the appeal is allowed.
The judgment dated 18th December 2004 passed by the trial Court, thereby convicting the
appellant under Sections 395, 365, 364, 201, 380, 302 read with Section 34 of the IPC and the
impugned judgment dated 25th August 2008, passed by the High Court affirming the same are set
aside. The appellant is acquitted of all the charges charged with. The bail bonds of the accused shall
stand discharged.",Petitioner
6,"The learned counsel for the petitioner desires to withdraw the writ petition in view of the judgment
passed by the Supreme Court dated 18.08.2022 in Civil Appeal Nos. 5509-5510 of 2022 in the
matter of Brij Raj Oberoi vs. The Secretary, Tourism and Civil Aviation Department & Anr. Not
objected by the learned counsel for the State-respondents. The petitioner is permitted to withdraw
the writ petition. The writ petition stands withdrawn.",Ambiguity
7,"Keeping in view the unrebutted testimony of PW1 and documents relied upon, it can be said that
the plaintiff has duly established its case that defendant has unlawfully withheld the amount due to
the plaintiff which the plaintiff in entitled to recover. Further since defendant no. 2 stood
surety/guarantor to the loan facility availed by defendant no.1, his liability being co-extensive, the
plaintiff is also entitled to recover the alleged amount from defendant no. 2 in alternate or together
with defendant no.1. Now though the statement of accounts Ex PW1/7 reflect a liability of
Rs.2,21,188/- pending on part of the defendant, plaintiff has sought recovery for Rs. 2,18,284/- only.
 In view of the above discussion, therefore, the suit of the plaintiff is decreed. The plaintiff is
awarded decree for recovery of Rs. 2,18,284/- along with cost of suit along with prayed interest @
13.70 % per annum from the date of filing of the suit till the date of realization of the amount
decreed.",Petitioner
8,"The Petition succeeds to this limited. The classification of the Petitioner's term loan account with
IOB is quashed and set aside. We clarify that the IOB is at liberty to take up the matter again if 18th
January 2023 913-OSWP-5022-2022.DOC there is a further irregularity after today and not for any
previous period. In doing so, and having regard to this correspondence, the IOB will be required to
give the Petitioner adequate notice and a brief hearing to show cause. We require this because the
conduct of the IOB in correspondence thus far has been less than satisfactory. IOB is required to update its records to reclassify the Petitioner and remove the classification as
an NPA. This is to be done within 48 hours of this order being uploaded.",Petitioner
9,"This appeal arises from a judgment of the National Company Law Appellate
Tribunal' dated 30 July 2020 in Company Appeal (AT) Insolvency No 646 of
20202. We accordingly allow the appeal and set aside the impugned judgment and
order of the NCLAT dated 30 July 2020. Similarly, the order of NCLT dated 7
February 2020 is set aside. MA No 223/2020 in CP (IB) 970/MB/2019 is restored
to the file of the NCLT for a decision afresh. The NCLT, upon remand, is
requested to expedite the disposal of the MA and to complete the process within
a period of one month from the date of receipt of a certified copy of this order on
its record.",Petitioner
